timestamp,angulo_brazo_d,angulo_brazo_i,angulo_pierna_d,angulo_pierna_i
1761484394.89,47.23,8.92,38.2,170.91
1761484394.95,15.49,24.0,167.83,178.42
1761484395.01,133.32,41.72,120.5,119.16
1761484395.08,21.31,12.66,68.7,85.71
1761484395.15,93.6,163.15,65.02,85.46
1761484395.22,61.14,48.2,157.17,169.46
1761484395.28,90.01,46.99,168.11,175.68
1761484395.35,115.06,89.58,28.34,5.92
1761484395.83,179.72,6.54,176.76,175.62
1761484395.88,130.19,56.65,178.0,176.47
1761484395.95,170.92,81.29,176.18,176.98
1761484396.02,172.36,63.61,176.73,178.4
1761484396.08,94.02,28.69,177.24,177.94
1761484396.15,7.4,15.37,177.21,178.91
1761484396.2,23.16,14.3,169.22,177.17
1761484396.25,34.61,3.27,174.5,174.94
1761484396.32,123.41,102.15,121.3,161.01
1761484396.4,71.1,101.33,164.21,168.22
1761484396.49,117.84,131.2,61.8,25.97
1761484396.62,131.04,123.07,169.49,154.62
1761484396.67,130.51,163.19,160.31,154.78
1761484396.74,162.6,146.5,56.81,122.05
1761484397.16,39.4,53.03,172.68,179.66
1761484397.21,24.63,157.57,133.67,148.48
1761484397.28,65.42,153.74,128.8,35.32
1761484397.35,129.16,132.81,178.0,172.64
1761484397.42,87.16,97.75,175.49,176.41
1761484397.48,21.03,59.19,176.01,178.32
1761484397.55,14.7,79.27,23.04,22.88
1761484397.62,12.85,87.04,69.21,75.4
1761484397.68,83.28,106.31,136.3,170.95
1761484397.75,96.52,127.05,134.8,146.77
1761484397.82,90.77,108.23,57.67,161.79
1761484397.88,77.45,150.12,97.48,109.19
1761484397.95,156.52,156.69,134.74,160.0
1761484398.02,158.16,156.57,150.49,165.14
1761484398.08,55.32,105.97,142.71,140.74
1761484398.15,155.02,96.53,170.27,164.17
1761484398.96,135.18,122.34,179.66,169.01
1761484399.01,100.63,37.81,139.32,169.77
1761484399.07,112.9,164.98,150.19,178.44
1761484399.15,124.88,64.14,76.41,95.9
1761484399.3,156.52,167.91,174.67,138.57
1761484399.35,157.26,165.54,164.96,177.1
1761484399.42,161.08,164.69,154.67,176.65
1761484399.48,102.98,81.24,154.65,170.74
1761484399.55,121.5,131.96,165.83,170.59
1761484399.61,168.9,178.24,161.82,177.36
1761484399.69,155.42,144.27,161.19,178.29
1761484399.75,92.31,52.95,123.12,154.94
1761484399.82,134.02,149.48,154.06,172.6
1761484399.89,126.71,162.74,159.47,158.0
1761484399.95,151.05,163.87,151.39,162.46
1761484400.02,154.02,149.43,133.71,160.03
1761484400.08,162.17,161.5,134.64,138.76
