timestamp,angulo_brazo_d,angulo_brazo_i,angulo_pierna_d,angulo_pierna_i
1761401134.59,8.64,125.68,176.16,178.64
1761401134.75,10.31,100.5,177.67,178.45
1761401134.82,10.28,95.71,178.89,179.62
1761401134.88,10.51,145.4,178.77,179.44
1761401134.95,10.41,136.41,179.71,179.99
1761401135.02,9.34,135.08,174.53,176.82
1761401135.08,8.53,147.97,174.71,177.06
1761401135.15,8.0,161.2,169.92,177.1
1761401135.22,8.05,147.39,170.03,177.04
1761401135.29,6.87,145.69,172.4,176.72
1761401135.36,7.16,160.35,172.84,176.24
1761401135.42,6.5,16.02,167.01,175.72
1761401135.48,6.08,18.16,167.82,174.17
1761401135.55,7.58,117.19,171.67,175.18
1761401135.62,9.3,65.42,176.2,177.26
1761401135.68,13.3,62.51,173.12,175.69
1761401135.75,16.07,61.97,175.11,177.3
1761401135.82,22.61,58.98,176.12,176.89
1761401135.89,27.36,61.32,178.47,177.44
1761401135.96,28.36,34.17,178.84,177.39
1761401136.03,26.79,28.76,177.96,177.86
1761401136.09,24.0,21.76,178.01,178.03
1761401136.16,21.99,13.95,178.23,178.0
1761401136.23,19.37,6.83,179.41,178.38
1761401136.3,13.12,0.16,179.22,178.75
1761401136.36,9.87,0.91,177.87,178.92
1761401136.43,6.63,1.66,179.04,178.91
1761401136.49,3.21,7.07,179.96,178.95
1761401136.55,0.48,15.64,179.99,179.92
1761401136.62,4.72,18.31,178.71,179.29
1761401136.69,8.13,20.27,177.97,179.49
1761401136.76,12.96,25.04,178.09,179.93
1761401136.83,13.14,30.0,177.16,179.77
1761401136.9,16.85,34.12,177.57,179.8
1761401136.96,19.76,38.27,177.84,179.82
1761401137.03,22.94,41.73,178.29,179.69
1761401137.1,25.62,44.34,178.79,179.79
1761401137.16,29.8,44.19,179.7,179.97
1761401137.23,32.66,44.2,179.77,179.99
1761401137.29,34.76,44.21,179.8,179.57
1761401137.36,36.28,45.34,179.77,179.65
1761401137.43,38.22,46.76,179.48,179.72
1761401137.49,40.14,48.68,179.44,179.49
1761401137.56,40.81,49.92,179.47,179.0
1761401137.63,42.04,51.22,178.98,178.64
1761401137.69,44.09,51.59,178.59,178.65
1761401137.76,45.96,52.47,178.67,178.82
1761401137.83,48.18,53.61,179.19,178.69
1761401137.89,50.76,55.34,179.23,178.63
